Thai,Chinese_Pinyin,TTS_Key
สวัสดี,你好 nǐ hǎo,zh_cn_0001
สบายดีไหม,你好吗 nǐ hǎo ma,zh_cn_0002
สวัสดีตอนเช้า,早上好 zǎo shang hǎo,zh_cn_0003
สวัสดีตอนบ่าย,下午好 xià wǔ hǎo,zh_cn_0004
สวัสดีตอนเย็น,晚上好 wǎn shang hǎo,zh_cn_0005
ราตรีสวัสดิ์,晚安 wǎn ān,zh_cn_0006
ลาก่อน,再见 zài jiàn,zh_cn_0007
พรุ่งนี้เจอกัน,明天见 míng tiān jiàn,zh_cn_0008
เจอกันใหม่,下次见 xià cì jiàn,zh_cn_0009
ยินดีที่ได้รู้จัก,很高兴认识你 hěn gāo xìng rèn shi nǐ,zh_cn_0010

ขอบคุณ,谢谢 xiè xie,zh_cn_0011
ขอบคุณมาก,非常感谢 fēi cháng gǎn xiè,zh_cn_0012
ไม่เป็นไร,不客气 bú kè qi,zh_cn_0013
ขอโทษ,对不起 duì bù qǐ,zh_cn_0014
ไม่เป็นไร / ช่างมันเถอะ,没关系 méi guān xi,zh_cn_0015
เชิญ / กรุณา,请 qǐng,zh_cn_0016
ได้ไหม,可以吗 kě yǐ ma,zh_cn_0017
ได้,可以 kě yǐ,zh_cn_0018
ไม่ได้,不可以 bù kě yǐ,zh_cn_0019
โอเค,好的 hǎo de,zh_cn_0020

ใช่,是的 shì de,zh_cn_0021
ไม่ใช่,不是 bú shì,zh_cn_0022
อาจจะ,可能 kě néng,zh_cn_0023
แน่นอน,当然 dāng rán,zh_cn_0024
ไม่มีปัญหา,没问题 méi wèn tí,zh_cn_0025
ช่วยด้วย,帮帮我 bāng bāng wǒ,zh_cn_0026
ช่วยฉันหน่อย,请帮我一下 qǐng bāng wǒ yí xià,zh_cn_0027
รอสักครู่,等一下 děng yí xià,zh_cn_0028
เร็วหน่อย,快一点 kuài yì diǎn,zh_cn_0029
ช้าๆหน่อย,慢一点 màn yì diǎn,zh_cn_0030

ฉันไม่เข้าใจ,我不懂 wǒ bù dǒng,zh_cn_0031
ฉันเข้าใจแล้ว,我懂了 wǒ dǒng le,zh_cn_0032
พูดอีกครั้งได้ไหม,请再说一遍 qǐng zài shuō yí biàn,zh_cn_0033
พูดช้าๆหน่อย,请说慢一点 qǐng shuō màn yì diǎn,zh_cn_0034
คุณพูดภาษาอังกฤษได้ไหม,你会说英语吗 nǐ huì shuō yīng yǔ ma,zh_cn_0035
คุณพูดภาษาไทยได้ไหม,你会说泰语吗 nǐ huì shuō tài yǔ ma,zh_cn_0036
